date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:58	105464/105464	---M-Z	200	added ('OK')	text/html	etag:%2219bf8-5d4f0516eaac0-gzip%22	https://pro-theme.com/html/sokolcov/auto-club/home.html	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/home.html	(from )
20:18:59	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%225eb2a4ed-1a%22	https://pro-theme.com/robots.txt		(from )
20:18:59	461/461	---M--	200	added ('OK')	image/png	etag:%225932f254-1cd%22	https://pro-theme.com/html/sokolcov/auto-club/images/favicon.png	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/images/favicon.png	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:18:59	1239/1239	---MCZ	200	added ('OK')	text/css	etag:W/%225932f249-4d7%22	https://pro-theme.com/html/sokolcov/auto-club/css/master.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/css/master.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:19:00	10818/10818	---MCZ	200	added ('OK')	text/css	etag:W/%2259331d5a-2a42%22	https://pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/switcher.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/switcher.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:19:00	19/19	---M--	200	added ('OK')	text/css	etag:%2259331d58-13%22	https://pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color1.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color1.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:19:00	13526/13526	---MCZ	200	added ('OK')	text/css	etag:W/%2259331d58-34d6%22	https://pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color2.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color2.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:19:00	13526/13526	---MCZ	200	added ('OK')	text/css	etag:W/%2259331d59-34d6%22	https://pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color3.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color3.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:19:01	13526/13526	---MCZ	200	added ('OK')	text/css	etag:W/%2259331d59-34d6%22	https://pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color4.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color4.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
20:19:01	13526/13526	---MCZ	200	added ('OK')	text/css	etag:W/%2259331d5a-34d6%22	https://pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color5.css	D:/Projects/VScode/Customer-homepage_new/Car/pro-theme.com/html/sokolcov/auto-club/assets/switcher/css/color5.css	(from https://pro-theme.com/html/sokolcov/auto-club/home.html)
